Date,y,Hour,Temperature,Humidity,Wind speed,Visibility,Dew point temperature,Solar Radiation,Rainfall,Snowfall,Seasons,Holiday,Functioning Day
21/12/2017,166,0,-1.3,90,2,259,-2.7,0,0,2.2,Winter,No Holiday,Yes
21/12/2017,189,1,-1.8,90,1.6,263,-3.2,0,0,2.2,Winter,No Holiday,Yes
21/12/2017,132,2,-2.2,88,1.4,348,-3.9,0,0,2.2,Winter,No Holiday,Yes
21/12/2017,79,3,-2.9,89,1.3,288,-4.4,0,0,2.2,Winter,No Holiday,Yes
21/12/2017,58,4,-3.6,91,1.2,241,-4.8,0,0,2.2,Winter,No Holiday,Yes
21/12/2017,49,5,-4.3,91,1.5,233,-5.5,0,0,2.2,Winter,No Holiday,Yes
21/12/2017,84,6,-4.8,91,1.1,266,-6,0,0,2.2,Winter,No Holiday,Yes
21/12/2017,178,7,-5.3,90,1.1,311,-6.6,0,0,2.2,Winter,No Holiday,Yes
21/12/2017,423,8,-5.6,89,0.9,371,-7.1,0,0,2.2,Winter,No Holiday,Yes
21/12/2017,265,9,-5.3,88,0.4,463,-6.9,0.21,0,2.2,Winter,No Holiday,Yes
21/12/2017,169,10,-3,71,0.7,608,-7.5,0.67,0,2.1,Winter,No Holiday,Yes
21/12/2017,243,11,-0.7,62,0.7,519,-7,0.77,0,2,Winter,No Holiday,Yes
21/12/2017,290,12,1.9,40,2,1835,-10.3,1.04,0,1.9,Winter,No Holiday,Yes
21/12/2017,285,13,3.2,42,1.8,1349,-8.5,1.08,0,1.8,Winter,No Holiday,Yes
21/12/2017,255,14,4.3,47,2.3,953,-6,0.96,0,1.6,Winter,No Holiday,Yes
21/12/2017,316,15,4.4,46,1.4,1113,-6.2,0.78,0,1,Winter,No Holiday,Yes
21/12/2017,301,16,4.1,51,1.8,1112,-5.1,0.48,0,0.9,Winter,No Holiday,Yes
21/12/2017,366,17,2.9,60,1.3,1193,-4.1,0.16,0,0.8,Winter,No Holiday,Yes
21/12/2017,531,18,1.7,64,1.3,1140,-4.3,0,0,0.8,Winter,No Holiday,Yes
21/12/2017,355,19,0.8,71,0.9,923,-3.8,0,0,0.8,Winter,No Holiday,Yes
21/12/2017,288,20,0.2,72,0.7,990,-4.2,0,0,0.8,Winter,No Holiday,Yes
21/12/2017,248,21,-0.4,74,0.6,1065,-4.4,0,0,0.8,Winter,No Holiday,Yes
21/12/2017,252,22,-1.1,78,0.6,865,-4.4,0,0,0.8,Winter,No Holiday,Yes
21/12/2017,212,23,-1.5,79,0.6,821,-4.6,0,0,0.8,Winter,No Holiday,Yes
22/12/2017,196,0,-1.7,79,0.5,794,-4.8,0,0,0.8,Winter,Holiday,Yes
22/12/2017,250,1,-1.6,79,0.6,784,-4.7,0,0,0.8,Winter,Holiday,Yes
22/12/2017,161,2,-1.1,79,0.7,736,-4.2,0,0,0.8,Winter,Holiday,Yes
22/12/2017,99,3,-0.6,76,0.5,789,-4.3,0,0,0.7,Winter,Holiday,Yes
22/12/2017,64,4,-0.3,76,0.9,760,-4,0,0,0.7,Winter,Holiday,Yes
22/12/2017,76,5,-0.2,73,0.8,880,-4.4,0,0,0.7,Winter,Holiday,Yes
22/12/2017,114,6,-0.1,71,0.8,895,-4.7,0,0,0.7,Winter,Holiday,Yes
22/12/2017,283,7,-0.3,72,0.7,919,-4.7,0,0,0.7,Winter,Holiday,Yes
22/12/2017,544,8,-0.4,69,0.5,904,-5.4,0,0,0.7,Winter,Holiday,Yes
22/12/2017,298,9,0.3,67,0.7,897,-5.1,0.03,0,0.6,Winter,Holiday,Yes
22/12/2017,248,10,1.4,64,1,897,-4.6,0.25,0,0.5,Winter,Holiday,Yes
22/12/2017,278,11,3.1,57,0.8,804,-4.6,0.63,0,0,Winter,Holiday,Yes
22/12/2017,301,12,4.5,56,0.8,836,-3.5,0.71,0,0,Winter,Holiday,Yes
22/12/2017,320,13,5.4,55,1.2,820,-2.9,0.66,0,0,Winter,Holiday,Yes
22/12/2017,326,14,5.9,55,0.6,779,-2.4,0.48,0,0,Winter,Holiday,Yes
22/12/2017,386,15,6.5,55,0.9,801,-1.9,0.38,0,0,Winter,Holiday,Yes
22/12/2017,416,16,6,58,0.7,732,-1.6,0.19,0,0,Winter,Holiday,Yes
22/12/2017,477,17,5.4,61,1.3,691,-1.5,0.08,0,0,Winter,Holiday,Yes
22/12/2017,671,18,4.9,63,0.6,677,-1.5,0,0,0,Winter,Holiday,Yes
22/12/2017,481,19,5.2,64,0.7,691,-1,0,0,0,Winter,Holiday,Yes
22/12/2017,323,20,5.9,67,1.3,779,0.2,0,0,0,Winter,Holiday,Yes
22/12/2017,309,21,6.1,70,2.2,763,1,0,0,0,Winter,Holiday,Yes
22/12/2017,314,22,6.1,70,2.7,806,1,0,0,0,Winter,Holiday,Yes
22/12/2017,249,23,5.8,74,2.5,832,1.5,0,0,0,Winter,Holiday,Yes
23/12/2017,282,0,5.8,75,1.9,788,1.7,0,0,0,Winter,No Holiday,Yes
23/12/2017,337,1,5.7,75,1.7,706,1.6,0,0,0,Winter,No Holiday,Yes
23/12/2017,312,2,5.6,76,1.6,641,1.6,0,0,0,Winter,No Holiday,Yes
23/12/2017,230,3,5.4,77,1.6,583,1.6,0,0,0,Winter,No Holiday,Yes
23/12/2017,120,4,5.3,79,0.9,506,1.9,0,0,0,Winter,No Holiday,Yes
23/12/2017,59,5,5,81,1.2,425,2,0,0,0,Winter,No Holiday,Yes
23/12/2017,63,6,5.1,81,1.3,375,2.1,0,0,0,Winter,No Holiday,Yes
23/12/2017,99,7,5.1,82,0.7,334,2.2,0,0,0,Winter,No Holiday,Yes
23/12/2017,188,8,5.1,83,0.9,297,2.4,0,0,0,Winter,No Holiday,Yes
23/12/2017,239,9,5.2,84,0.7,226,2.7,0.03,0,0,Winter,No Holiday,Yes
23/12/2017,235,10,5.4,82,1.2,215,2.5,0.13,0,0,Winter,No Holiday,Yes
