iter	RMSE
0	3.536281242
1	3.407063794
2	3.283623104
3	3.165509746
4	3.048175553
5	2.939223842
6	2.836054519
7	2.734801691
8	2.641816396
9	2.550944079
10	2.46161169
11	2.37622731
12	2.295638403
13	2.218870401
14	2.146234888
15	2.076348438
16	2.010533923
17	1.94640368
18	1.88509937
19	1.824581555
20	1.767182687
21	1.714041767
22	1.66401236
23	1.611343691
24	1.561448309
25	1.516695861
26	1.471903435
27	1.431991473
28	1.391181932
29	1.351562193
30	1.313509465
31	1.278461537
32	1.244049859
33	1.210989713
34	1.180378284
35	1.148440943
36	1.119813079
37	1.092973921
38	1.064973387
39	1.040434738
40	1.014462138
41	0.9913197523
42	0.9705746092
43	0.9479311832
44	0.9286930953
45	0.9101394349
46	0.8911412856
47	0.8726196891
48	0.854920843
49	0.8390469733
50	0.8237177489
51	0.8097106404
52	0.7956802371
53	0.7817946918
54	0.7685054577
55	0.7559717329
56	0.7437461591
57	0.732484259
58	0.7214697078
59	0.712223896
60	0.7028845227
61	0.6937925983
62	0.6853134054
63	0.6776156318
64	0.6689102746
65	0.6606571715
66	0.6530297637
67	0.6456083128
68	0.6389494766
69	0.6325608553
70	0.6264384007
71	0.6217272985
72	0.6160318807
73	0.6105600174
74	0.6052683382
75	0.6003018178
76	0.595850141
77	0.5912652652
78	0.5871281612
79	0.5834001459
80	0.5793657857
81	0.5752888226
82	0.5710640967
83	0.5674137774
84	0.5637439262
85	0.5603001059
86	0.5565626446
87	0.5534594681
88	0.5502828864
89	0.5469748783
90	0.5444035481
91	0.5413793854
92	0.5377443755
93	0.5353427374
94	0.5324459512
95	0.5294589966
96	0.5267457095
97	0.5242483229
98	0.5218066971
99	0.5194092377
100	0.5160690721
101	0.5140766319
102	0.5111375626
103	0.5085522882
104	0.5062553325
105	0.5038022387
106	0.5017739457
107	0.4997024525
108	0.4978683192
109	0.4963527886
110	0.4945134412
111	0.4927443168
112	0.4912646032
113	0.4896608482
114	0.4877818385
115	0.4856930123
116	0.4841717053
117	0.4824785209
118	0.4804740154
119	0.4782183384
120	0.4767926793
121	0.474692963
122	0.4731809192
123	0.4717796516
124	0.4697589762
125	0.4683166486
126	0.4671683229
127	0.4657635258
128	0.4645234724
129	0.4628876369
130	0.4618698909
131	0.4598147509
132	0.4587965354
133	0.4575144691
134	0.4561768635
135	0.454746302
136	0.4536859957
137	0.4524572578
138	0.45179073
139	0.4506309407
140	0.4495885914
141	0.4486336801
142	0.4474526779
143	0.4464410263
144	0.4453536723
145	0.444222437
146	0.4433183229
147	0.4423938167
148	0.4412672707
149	0.4397934135
150	0.4386546254
151	0.437811038
152	0.4370704794
153	0.4361449399
154	0.4354565491
155	0.4346183777
156	0.4337785104
157	0.4328836122
158	0.4321999541
159	0.4313392656
160	0.4306135985
161	0.429755896
162	0.4284074279
163	0.4265604673
164	0.4253002058
165	0.424358482
166	0.4238121193
167	0.4232160199
168	0.4218345993
169	0.4210753604
170	0.4202186148
171	0.419400857
172	0.4176846896
173	0.4169560949
174	0.4155654799
175	0.4146309261
176	0.4141944982
177	0.4133093743
178	0.4127246019
179	0.4121600958
180	0.411506768
181	0.4107546267
182	0.4100896077
183	0.4093946385
184	0.4088241119
185	0.4085024219
186	0.4079641214
187	0.4073510486
188	0.40653838
189	0.4053919631
190	0.4049169873
191	0.4043424948
192	0.4038521667
193	0.4032705847
194	0.4027389294
195	0.4021544986
196	0.4015147598
197	0.4003827537
198	0.3996781173
199	0.3991954609
200	0.3983736553
201	0.3977614349
202	0.3972878405
203	0.3963785476
204	0.3959161151
205	0.3953502694
206	0.3947289403
207	0.3941774362
208	0.3934941046
209	0.392949402
210	0.3920440206
211	0.391394762
212	0.3907402955
213	0.3898023513
214	0.3893358556
215	0.3884361691
216	0.3879456389
217	0.3876052113
218	0.3871145625
219	0.3866905146
220	0.386305656
221	0.3858686036
222	0.3854406375
