,ID,Date,Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Functioning Day,Year,Week,Month,WeekDay,Rush_hour,Dead_hour,day_night,Humidity_high,Temperature_high,Weather_bad,Ideal,Humidex,Visibility_cat,Visibility_dist,Rain_cat,Snow_cat,Weather_State,Weather_stat&visb_dist,Weather&visb,Sky_State,Temp_State,GBL_Forecast,Date_tmp,Prev Month y,Temperature lag1,Rainfall lag1,Visibility  lag1,Wind speed lag1,Weather_State lag1,Humidity lag1,Rush_hour lag1,Dead_hour lag1,Ideal lag1,Dew point temperature(C) lag1
0,5760,2017-12-21,0,-1.3,90,2.0,259,-2.7,0.0,0.0,2.2,0,0,1,2017,48,12,4,0.0,0.01831563888873418,0,1,0,1,1,-4.072914456262479,1,2,0,1,11,22,61.125108678694914,4,4,16,2017-12,230.31666666666666,-1.8,0.0,263.0,1.6,11.0,90.0,0.0,0.049787068367863944,1.0,-3.2
1,5761,2017-12-21,1,-1.8,90,1.6,263,-3.2,0.0,0.0,2.2,0,0,1,2017,48,12,4,0.0,0.049787068367863944,0,1,0,1,1,-4.674269180921372,1,2,0,1,11,22,61.29369435395541,4,4,16,2017-12,230.31666666666666,-2.2,0.0,348.0,1.4,11.0,88.0,0.0,0.1353352832366127,1.0,-3.9
2,5762,2017-12-21,2,-2.2,88,1.4,348,-3.9,0.0,0.0,2.2,0,0,1,2017,48,12,4,0.0,0.1353352832366127,0,1,0,1,1,-5.210583222290037,1,2,0,1,11,22,64.37422727751922,4,4,16,2017-12,230.31666666666666,-2.9,0.0,288.0,1.3,11.0,89.0,0.0,0.36787944117144233,1.0,-4.4
3,5763,2017-12-21,3,-2.9,89,1.3,288,-4.4,0.0,0.0,2.2,0,0,1,2017,48,12,4,0.0,0.36787944117144233,0,1,0,1,1,-6.00409458892166,1,2,0,1,11,22,62.292565281495406,4,4,16,2017-12,230.31666666666666,-3.6,0.0,241.0,1.2,11.0,91.0,0.0,1.0,1.0,-4.8
4,5764,2017-12-21,4,-3.6,91,1.2,241,-4.8,0.0,0.0,2.2,0,0,1,2017,48,12,4,0.0,1.0,0,1,0,1,1,-6.776662629684901,0,2,0,1,11,22,60.3327662683972,4,4,16,2017-12,230.31666666666666,-4.3,0.0,233.0,1.5,11.0,91.0,0.0,0.36787944117144233,1.0,-5.5
5,5765,2017-12-21,5,-4.3,91,1.5,233,-5.5,0.0,0.0,2.2,0,0,1,2017,48,12,4,0.0,0.36787944117144233,0,1,0,1,1,-7.599013758995588,0,2,0,1,11,22,59.961422989222704,4,4,16,2017-12,230.31666666666666,-4.8,0.0,266.0,1.1,11.0,91.0,0.1353352832366127,0.0,1.0,-6.0
6,5766,2017-12-21,6,-4.8,91,1.1,266,-6.0,0.0,0.0,2.2,0,0,1,2017,48,12,4,0.1353352832366127,0.0,1,1,0,1,1,-8.182903628675566,1,2,0,1,11,22,61.41845939659869,4,4,16,2017-12,230.31666666666666,-5.3,0.0,311.0,1.1,11.0,90.0,0.36787944117144233,0.0,1.0,-6.6
7,5767,2017-12-21,7,-5.3,90,1.1,311,-6.6,0.0,0.0,2.2,0,0,1,2017,48,12,4,0.36787944117144233,0.0,1,1,0,1,1,-8.77985451282849,1,2,0,1,11,22,63.13772203397157,4,4,16,2017-12,230.31666666666666,-5.6,0.0,371.0,0.9,11.0,89.0,1.0,0.0,1.0,-7.1
8,5768,2017-12-21,8,-5.6,89,0.9,371,-7.1,0.0,0.0,2.2,0,0,1,2017,48,12,4,1.0,0.0,1,1,0,1,1,-9.157648090632978,1,2,0,1,11,22,65.07822268868179,4,4,16,2017-12,230.31666666666666,-5.3,0.0,463.0,0.4,11.0,88.0,0.36787944117144233,0.0,1.0,-6.9
9,5769,2017-12-21,9,-5.3,88,0.4,463,-6.9,0.21,0.0,2.2,0,0,1,2017,48,12,4,0.36787944117144233,0.0,1,1,0,1,1,-8.826851861219346,2,3,0,1,11,33,67.51499759494857,4,4,16,2017-12,230.31666666666666,-3.0,0.0,608.0,0.7,11.0,71.0,0.1353352832366127,0.0,1.0,-7.5
10,5770,2017-12-21,10,-3.0,71,0.7,608,-7.5,0.67,0.0,2.1,0,0,1,2017,48,12,4,0.1353352832366127,0.0,1,1,0,1,1,-6.6179790507367695,2,3,0,1,11,33,70.51192370162784,4,4,16,2017-12,230.31666666666666,-0.7,0.0,519.0,0.7,11.0,62.0,0.0,0.0,1.0,-7.0
11,5771,2017-12-21,11,-0.7,62,0.7,519,-7.0,0.77,0.0,2.0,0,0,1,2017,48,12,4,0.0,0.0,1,0,0,0,1,-4.2423030750759185,2,3,0,1,11,33,68.77094271482477,4,4,16,2017-12,230.31666666666666,1.9,0.0,1835.0,2.0,12.0,40.0,0.0,0.0,1.0,-10.3
12,5772,2017-12-21,12,1.9,40,2.0,1835,-10.3,1.04,0.0,1.9,0,0,1,2017,48,12,4,0.0,0.0,1,0,0,0,1,-2.0963317374395216,5,4,0,1,12,48,90.17759712586404,4,2,8,2017-12,230.31666666666666,3.2,0.0,1349.0,1.8,12.0,42.0,0.006737946999085467,0.0,1.0,-8.5
13,5773,2017-12-21,13,3.2,42,1.8,1349,-8.5,1.08,0.0,1.8,0,0,1,2017,48,12,4,0.006737946999085467,0.0,1,0,0,0,1,-0.5616834634598797,4,4,0,1,12,48,86.48542627449307,4,2,8,2017-12,230.31666666666666,4.3,0.0,953.0,2.3,12.0,47.0,0.01831563888873418,0.0,1.0,-6.0
14,5774,2017-12-21,14,4.3,47,2.3,953,-6.0,0.96,0.0,1.6,0,0,1,2017,48,12,4,0.01831563888873418,0.0,1,0,0,0,1,0.9170963713244338,3,3,0,1,12,36,82.31537884385043,4,2,8,2017-12,230.31666666666666,4.4,0.0,1113.0,1.4,12.0,46.0,0.049787068367863944,0.0,0.0,-6.2
15,5775,2017-12-21,15,4.4,46,1.4,1113,-6.2,0.78,0.0,1.0,0,0,1,2017,48,12,4,0.049787068367863944,0.0,1,0,0,0,0,0.9843352203237941,3,4,0,1,12,48,84.17777221530653,4,2,8,2017-12,230.31666666666666,4.1,0.0,1112.0,1.8,12.0,51.0,0.1353352832366127,0.0,0.0,-5.1
16,5776,2017-12-21,16,4.1,51,1.8,1112,-5.1,0.48,0.0,0.9,0,0,1,2017,48,12,4,0.1353352832366127,0.0,1,0,0,0,0,0.8701876950101313,3,4,0,1,12,48,84.16698569772633,3,2,6,2017-12,230.31666666666666,2.9,0.0,1193.0,1.3,12.0,60.0,0.36787944117144233,0.0,1.0,-4.1
